constellation,abbreviation,abbreviation_upper,meaning,pronunciation,genitive,area,messiers,ngcs,caldwells,brightest_stars,ngcs2,date_best,visible,ra_low_h,ra_low_m,ra_high_h,ra_low_m3,dec_low_d,dec_low_m,dec_high_d,dec_high_m,ra_mid_h,ra_mid_m,dec_mid_d,dec_mid_m,ra_low_frac,ra_high_frac,dec_low_frac,dec_high_frac,ra_mid_frac,dec_mid_frac
Lupus,Lup,LUP,The Wolf,loo-pus,Lupi,333.683,0,0,0,1,18,5.11,P,14,17.8,16,8.61,-55,34.8,-29,50.27,15,13.21,-42,42.53,14.29666667,16.1435,-54.42,-28.16216667,15.22016667,-41.29116667
Lynx,Lyn,LYN,The Lynx,links,Lyncis,545.386,0,1,1,0,107,1.21,V,6,16.23,9,42.84,32,58.15,61,57.85,7,59.53,47,28,6.2705,9.714,32.96916667,61.96416667,7.992166667,47.46666667
Lyra,Lyr,LYR,The Lyre,lI-ru,Lyrae,286.476,2,0,0,1,34,7.05,V,18,13.87,19,28.48,25,39.85,47,42.86,18,51.17,36,41.36,18.23116667,19.47466667,25.66416667,47.71433333,18.85283333,36.68933333
Mensa,Men,MEN,The Table,men-su,Mensae,153.484,0,0,0,0,74,12.13,N,3,12.93,7,36.86,-85,15.69,-69,44.8,5,24.9,-77,30.24,3.2155,7.614333333,-84.7385,-68.25333333,5.415,-76.496
Microscopium,Mic,MIC,The Microscope,mI-krO-scO-pE-um,Microscopii,209.513,0,0,0,0,11,8.06,P,20,27.59,21,28.17,-45,5.4,-27,27.58,20,57.88,-36,16.49,20.45983333,21.4695,-44.91,-26.54033333,20.96466667,-35.72516667
Monoceros,Mon,MON,The Unicorn,mO-nos-er-us,Monocerotis,481.569,1,2,4,0,58,1.07,V,5,55.86,8,11.4,-11,22.13,11,56,7,3.63,0,16.93,5.931,8.19,-10.63116667,11.93333333,7.0605,0.282166667
Musca,Mus,MUS,The Fly,mus-ku,Muscae,138.355,0,0,2,0,6,4.01,N,11,19.43,13,51.13,-75,41.04,-64,38.28,12,35.28,-70,9.66,11.32383333,13.85216667,-74.316,-63.362,12.588,-69.839
Norma,Nor,NOR,The Square,nor-mu,Normae,165.29,0,0,1,0,14,5.21,N,15,12.23,16,36.14,-60,26.13,-42,16.05,15,54.18,-51,21.09,15.20383333,16.60233333,-59.5645,-41.7325,15.903,-50.6485
Octans,Oct,OCT,The Octant,ok-tanz,Octantis,291.045,0,0,0,0,10,9.06,N,0,0,24,0,-90,0,-74,18.24,23,0,-82,9.12,0,24,-90,-73.696,23,-81.848
Ophiuchus,Oph,OPH,The Serpent-holder,O-fE-U-kus,Ophiuchi,948.34,7,3,0,3,42,6.13,V,16,1.55,18,45.83,-30,12.74,14,23.25,17,23.69,-7,54.74,16.02583333,18.76383333,-29.78766667,14.3875,17.39483333,-6.087666667
Orion,Ori,ORI,The Hunter,O-rI-un,Orionis,594.12,3,5,0,7,66,12.15,V,4,43.41,6,25.78,-10,58.71,22,52.59,5,34.59,5,56.94,4.7235,6.429666667,-9.0215,22.8765,5.5765,5.949
Pavo,Pav,PAV,The Peacock,pA-vO,Pavonis,377.666,0,0,2,1,54,7.17,N,17,40.67,21,32.74,-74,58.47,-56,35.31,19,36.71,-65,46.89,17.67783333,21.54566667,-73.0255,-55.4115,19.61183333,-64.2185
Pegasus,Peg,PEG,The Winged Horse,peg-u-sus,Pegasi,1120.794,1,1,3,3,335,9.02,V,21,8.72,0,14.96,2,19.54,36,36.41,22,41.84,19,27.98,21.14533333,0.249333333,2.325666667,36.60683333,22.69733333,19.46633333
Perseus,Per,PER,The Rescuer of Andromeda,per-sE-us or per-sus,Persei,614.997,2,3,2,2,98,11.09,V,1,29.63,4,51.36,30,55.31,59,6.28,3,10.5,45,0.79,1.493833333,4.856,30.92183333,59.10466667,3.175,45.01316667
Phoenix,Phe,PHE,The Phoenix,fE-niks,Phoenicis,469.319,0,0,0,1,41,10.06,N,23,26.77,2,25.06,-57,50.9,-39,18.77,0,55.91,-48,34.84,23.44616667,2.417666667,-56.15166667,-38.68716667,0.931833333,-47.41933333
Pictor,Pic,PIC,The Painter,pic-ter,Pictoris,246.739,0,0,0,0,21,12.17,N,4,32.87,6,52.04,-64,9.11,-42,47.78,5,42.46,-53,28.45,4.547833333,6.867333333,-63.84816667,-41.20366667,5.707666667,-52.52583333
Pisces,Psc,PSC,The Fishes,pI-sEz,Piscium,889.417,1,0,0,0,312,9.29,V,22,51.29,2,6.66,-6,18.45,33,40.91,0,28.97,13,41.23,22.85483333,2.111,-5.6925,33.68183333,0.482833333,13.68716667
Piscis Austrinus,PsA,PSA,The Southern Fish,pI-sis aus-trI-nus,Piscis Austrini,245.375,0,0,0,1,39,8.26,V,21,27.23,23,6.91,-36,27.56,-24,49.5,22,17.07,-30,38.53,21.45383333,23.11516667,-35.54066667,-23.175,22.2845,-29.35783333
Puppis,Pup,PUP,The Stern,pup-is,Puppis,673.434,3,2,1,1,56,1.1,P,6,3,8,27.96,-51,6.16,-11,15.13,7,15.48,-31,10.64,6.05,8.466,-50.89733333,-10.74783333,7.258,-30.82266667
Pyxis,Pyx,PYX,The Compass,pik-sis,Pyxidis,220.833,0,0,0,0,12,2.05,V,8,26.71,9,27.62,-37,17.52,-17,24.68,8,57.16,-27,21.1,8.445166667,9.460333333,-36.708,-16.58866667,8.952666667,-26.64833333
Reticulum,Ret,RET,The Reticle,rE-tik-U-lum,Reticuli,113.936,0,0,0,0,12,11.2,N,3,13.45,4,37.1,-67,14.88,-52,44.82,3,55.27,-59,59.85,3.224166667,4.618333333,-66.752,-51.253,3.921166667,-58.0025
Sagitta,Sge,SGE,The Arrow,su-jit-u,Sagittae,79.932,1,0,0,0,6,7.17,V,18,57.36,20,20.75,16,4.75,21,38.62,19,39.05,18,51.68,18.956,20.34583333,16.07916667,21.64366667,19.65083333,18.86133333
Sagittarius,Sgr,SGR,The Archer,saj-i-ter-E-us,Sagittarii,867.432,15,3,1,2,87,7.09,P,17,43.2,20,28.68,-45,16.65,-11,40.57,19,5.94,-28,28.61,17.72,20.478,-44.7225,-10.32383333,19.099,-27.52316667
Scorpius,Sco,SCO,The Scorpion,skor-pE-us,Scorpii,496.783,4,0,3,7,51,6.05,P,15,47.25,17,59.24,-45,46.02,-8,17.75,16,53.24,-27,1.89,15.7875,17.98733333,-44.233,-7.704166667,16.88733333,-26.9685
Sculptor,Scl,SCL,The Sculptor,skulp-ter,Sculptoris,474.764,0,1,3,0,64,9.28,P,23,6.72,1,45.84,-39,22.36,-24,48.25,0,26.28,-32,5.3,23.112,1.764,-38.62733333,-23.19583333,0.438,-31.91166667
Scutum,Sct,SCT,The Shield,skU-tum,Scuti,109.114,2,1,0,0,12,7.02,V,18,21.6,18,59.17,-15,56.61,-3,50.02,18,40.39,-9,53.32,18.36,18.98616667,-14.0565,-2.166333333,18.67316667,-8.111333333
Serpens (Caput),Ser1,SER1,The (Head of the) Serpent,ser-penz,Serpentis,428.484,1,0,0,0,84,5.19,V,15,10.42,16,22.55,-3,43.45,25,39.85,15,46.49,10,58.2,15.17366667,16.37583333,-2.275833333,25.66416667,15.77483333,10.97
Serpens (Cauda),Ser2,SER2,The (Tail of the) Serpent,ser-penz,Serpentis,208.444,1,0,0,0,0,6.24,V,17,16.89,18,58.31,-16,8.4,6,24.94,18,7.6,-4,51.73,17.2815,18.97183333,-15.86,6.415666667,18.12666667,-3.137833333
Sextans,Sex,SEX,The Sextant,seks-tuns,Sextantis,313.515,0,1,1,0,64,2.25,V,9,41.08,10,51.5,-11,39.73,6,25.97,10,16.29,-2,36.88,9.684666667,10.85833333,-10.33783333,6.432833333,10.2715,-1.385333333
Taurus,Tau,TAU,The Bull,tor-us,Tauri,797.249,2,1,1,2,48,12.02,V,3,23.35,6,0.92,-1,20.77,31,6.02,4,42.13,14,52.63,3.389166667,6.015333333,-0.653833333,31.10033333,4.702166667,14.87716667
Telescopium,Tel,TEL,The Telescope,tel-e-skO-pE-um,Telescopii,251.512,0,0,0,0,42,7.12,N,18,9.24,20,29.84,-56,59.03,-45,5.4,19,19.54,-51,2.21,18.154,20.49733333,-55.01616667,-44.91,19.32566667,-50.96316667
Triangulum,Tri,TRI,The Triangle,trI-ang-gU-lum,Trianguli,131.847,1,0,0,0,84,10.25,V,1,31.47,2,50.67,25,36.3,37,20.83,2,11.07,31,28.56,1.5245,2.8445,25.605,37.34716667,2.1845,31.476
Triangulum Australe,TrA,TRA,The Southern Triangle,trI-ang-gU-lum aus-trA-lE,Trainguli Australis,109.978,0,0,1,1,6,5.24,N,14,56.01,17,13.88,-70,30.69,-60,15.87,16,4.95,-65,23.28,14.9335,17.23133333,-69.4885,-59.7355,16.0825,-64.612
Tucana,Tuc,TUC,The Toucan,too-kan-u or too-kA-nu,Tucanae,294.557,0,0,2,0,63,9.18,N,22,8.45,1,24.82,-75,20.83,-56,18.76,23,46.64,-65,49.8,22.14083333,1.413666667,-74.65283333,-55.68733333,23.77733333,-64.17
Ursa Major,UMa,UMA,The Great Bear,Er-su mA-jer,Ursae Majoris,1279.66,7,9,0,6,439,3.12,V,8,8.52,14,29,28,18.24,73,8.3,11,18.76,50,43.27,8.142,14.48333333,28.304,73.13833333,11.31266667,50.72116667
Ursa Minor,UMi,UMI,The Little Bear,Er-su mI-ner,Ursae Minoris,255.864,0,0,0,2,39,5.08,V,0,0,24,0,65,23.98,90,0,15,0,77,41.99,0,24,65.39966667,90,15,77.69983333
Vela,Vel,VEL,The Sails,vE-lu,Velorum,499.649,0,0,3,4,42,2.14,P,8,3.45,11,5.83,-57,10.47,-37,9.6,9,34.64,-47,10.03,8.0575,11.09716667,-56.8255,-36.84,9.577333333,-46.83283333
Virgo,Vir,VIR,The Maiden,ver-gO,Virginis,1294.428,11,10,1,1,720,4.13,V,11,37.37,15,11.41,-22,40.64,14,21.63,13,24.39,-4,9.51,11.62283333,15.19016667,-21.32266667,14.3605,13.4065,-3.8415
Volans,Vol,VOL,The Flying Fish,vO-lanz,Volantis,141.354,0,0,0,0,13,1.18,N,6,31.08,9,4.38,-75,29.73,-64,6.42,7,47.73,-69,48.07,6.518,9.073,-74.5045,-63.893,7.7955,-68.19883333
Vulpecula,Vul,VUL,The Fox,vul-pek-U-lu,Vulpeculae,268.165,1,2,1,0,21,7.26,V,18,57.11,21,30.65,19,23.9,29,29.23,20,13.88,24,26.56,18.95183333,21.51083333,19.39833333,29.48716667,20.23133333,24.44266667
